subject_id count selected_count unique_user_count
86397664 16 0 16
86631149 10 0 10
88008478 14 0 12
87950230 20 0 10
86399149 13 0 13
86690415 13 0 11
87987126 12 0 11
86916480 20 0 14
86614279 39 0 26
86683056 17 0 11
86690304 16 0 11
88508496 18 0 12
86608637 36 0 23
86630629 19 0 12
87000887 17 0 14
88394318 14 0 10
86696290 15 0 12
86701186 27 0 13
88003970 14 0 10
86684526 16 0 11
88395225 20 0 10
86701870 20 0 11
86608940 11 0 10
86997966 17 0 13
86996771 16 0 12
87949770 17 0 12
86708813 18 0 15
88389612 16 0 13
88578113 23 0 18
86691213 19 0 14
86409901 13 0 13
87969937 14 0 11
88028893 16 0 14
88397226 18 0 11
88397823 12 0 11
88027007 15 0 11
86698479 18 0 11
86409715 15 0 13
87934954 23 0 12
86622706 20 0 17
86396296 17 0 15
86691571 14 0 10
86708736 19 0 10
86602157 13 0 12
86598303 15 0 11
87934852 17 0 11
86683577 17 0 13
88384769 20 0 16
87983956 20 0 14
88025145 14 0 13
86694348 17 0 13
86412369 14 0 13
87972492 14 0 10
88396077 15 0 12
88017672 21 0 16
86711634 14 0 11
86396443 14 0 12
87934591 17 0 12
86709786 21 0 13
88504807 19 0 13
86595205 18 0 13
86614851 15 0 10
86405725 11 0 10
88390430 15 0 13
86708722 13 0 10
86613670 26 0 15
86918301 28 0 16
86400818 13 0 12
88005141 26 0 15
86594846 10 0 10
86415186 23 0 21
88397856 23 0 14
86687952 18 0 14
86683028 26 0 15
86697810 16 0 12
86694773 19 0 13
88576618 17 0 11
86699314 22 0 15
88391212 14 0 11
86644822 15 0 13
86651489 16 0 14
86618835 16 0 10
86684241 15 0 12
86409227 17 0 17
86692608 15 0 13
88503170 23 0 15
86628648 16 0 12
86608583 13 0 10
86618057 14 0 11
86608459 12 0 12
86630439 27 0 19
86708188 10 0 10
88011332 11 0 10
86405439 11 0 11
86998371 13 0 12
87949657 12 0 10
86689117 16 0 13
86413884 20 0 18
88016745 14 0 12
88393586 17 0 12
88009587 17 0 12
87934775 26 0 16
87972259 15 0 11
86909090 22 0 11
86695345 15 0 12
86696007 19 0 13
86996110 14 0 12
86691826 18 0 12
86992610 25 0 17
87935801 21 0 16
86909624 30 0 20
88016456 18 0 13
86638432 11 0 11
86998774 16 0 15
86646812 16 0 12
86911175 27 0 16
87949907 21 0 12
86690768 22 0 16
86695194 16 0 11
87975574 13 0 11
87973331 12 0 11
86398931 13 0 12
86628850 14 0 11
86412747 17 0 15
86411006 12 0 11
86997280 12 0 10
86409490 19 0 18
86705412 15 0 10
88005818 24 0 13
86408323 20 0 19
88570680 28 0 20
86395626 20 0 20
86995803 29 0 21
86685339 27 0 19
86687355 22 0 12
86603812 12 0 10
88007683 18 0 13
88011085 19 0 12
87939401 21 0 11
86692544 18 0 11
86684259 16 0 12
88566814 23 0 21
86623653 13 0 11
87002503 23 0 18
86702060 14 0 12
86411093 15 0 14
86682131 17 0 10
88569897 25 0 20
88014558 13 0 12
88401303 16 0 14
86407887 13 0 13
88378016 21 0 16
86701107 24 0 13
88514978 16 0 13
86912215 21 0 16
88025075 19 0 10
86693247 16 0 13
86619000 12 0 10
88386700 10 0 10
86624147 31 0 25
88391924 16 0 12
87002416 23 0 16
86693723 21 0 12
88516387 12 0 10
86990667 18 0 15
86684309 24 0 14
86403759 16 0 15
86700352 12 0 10
88390340 15 0 10
86706809 17 0 10
87938146 17 0 13
86651403 17 0 10
86605689 15 0 12
88508795 15 0 11
87981597 17 0 14
86711140 17 0 12
86652488 10 0 10
88007738 17 0 13
86682802 23 0 13
88515133 31 0 17
86689442 18 0 11
88572620 18 0 14
88386094 14 0 11
88573331 17 0 16
88573416 17 0 14
86414262 13 0 11
88498156 21 0 11
86998629 20 0 11
86690240 22 0 14
86614686 17 0 11
87951616 18 0 14
88393908 19 0 14
88377405 16 0 13
86604427 14 0 12
88024590 26 0 12
88019136 17 0 11
88500126 16 0 14
88516563 10 0 10
86401243 13 0 12
86990135 21 0 17
86706039 17 0 11
86614124 33 0 22
86628128 14 0 12
87000146 24 0 15
88509604 17 0 12
86684774 20 0 16
88019043 17 0 10
86400298 14 0 13
86628257 12 0 10
86690374 19 0 14
87975675 14 0 11
88020724 16 0 13
88575525 23 0 18
86650138 20 0 15
87943539 24 0 21
86696618 18 0 12
86690724 18 0 14
88576296 22 0 15
87951442 16 0 13
88385055 16 0 12
88395210 22 0 16
87941676 22 0 13
86395644 13 0 12
86396301 14 0 12
86643248 15 0 13
87937944 29 0 19
88507651 35 0 18
88009176 12 0 11
86648816 12 0 11
86706327 16 0 12
86649206 12 0 10
88402100 24 0 12
88028234 13 0 10
